ID_values,Stranding_ID_Number,Sex,Straightline_Carapace_Length,Growth_Rate,Age,Year
510,Cm NME100112_012,Female,38.6,3.5,9,2002
511,Cm NME100112_012,Female,42.1,3.5,10,2003
512,Cm NME100112_012,Female,45.4,3.2,11,2004
513,Cm NME100112_012,Female,48.7,3.4,12,2005
514,Cm NME100112_012,Female,52,3.1,13,2006
515,Cm NME100112_012,Female,55.4,3.8,14,2007
516,Cm NME100112_012,Female,58.8,3,15,2008
517,Cm NME100112_012,Female,61.3,2,16,2009
518,Cm NME100112_013 pot FP,Female,39.8,4.2,8,2002
519,Cm NME100112_013 pot FP,Female,43.2,2.7,9,2003
520,Cm NME100112_013 pot FP,Female,46.1,3.1,10,2004
521,Cm NME100112_013 pot FP,Female,49.9,4.5,11,2005
522,Cm NME100112_013 pot FP,Female,54.6,5,12,2006
523,Cm NME100112_013 pot FP,Female,59.1,4.1,13,2007
524,Cm NME100112_013 pot FP,Female,62.8,3.3,14,2008
525,Cm NME100112_013 pot FP,Female,65.7,2.4,15,2009
526,Cm NME100112_015,Female,35.2,2.4,8,2004
527,Cm NME100112_015,Female,38,3.3,9,2005
528,Cm NME100112_015,Female,41.5,3.7,10,2006
529,Cm NME100112_015,Female,44.9,3.1,11,2007
530,Cm NME100112_015,Female,48.4,4,12,2008
531,Cm NME100112_015,Female,51.5,2.1,13,2009
532,Cm NME100112_017,Female,29.5,1.9,5,2002
533,Cm NME100112_017,Female,31,1,6,2003
534,Cm NME100112_017,Female,32.8,2.7,7,2004
535,Cm NME100112_017,Female,35.9,3.5,8,2005
536,Cm NME100112_017,Female,39.9,4.4,9,2006
537,Cm NME100112_017,Female,43.7,3.2,10,2007
538,Cm NME100112_017,Female,47.6,4.6,11,2008
539,Cm NME100112_017,Female,50.6,1.4,12,2009
540,Cm NME100112_018 FP,Female,30.5,4.1,5,2006
541,Cm NME100112_018 FP,Female,34.3,3.3,6,2007
542,Cm NME100112_018 FP,Female,38.2,4.5,7,2008
543,Cm NME100112_018 FP,Female,42.7,4.5,8,2009
544,Cm NME100112_035,Male,25.7,2,4,2005
545,Cm NME100112_035,Male,28.2,3,5,2006
546,Cm NME100112_035,Male,31.3,3.2,6,2007
547,Cm NME100112_035,Male,35,4.2,7,2008
548,Cm NME100112_035,Male,38.6,3.1,8,2009
549,Cm NME100112_046,Female,22.7,1.3,1,2006
550,Cm NME100112_046,Female,25.3,3.8,2,2007
551,Cm NME100112_046,Female,29.3,4.2,3,2008
552,Cm NME100112_046,Female,32.7,2.8,4,2009
553,Cm NME100113_010 FP,Female,32.1,6.5,5,2004
554,Cm NME100113_010 FP,Female,37.4,4,6,2005
555,Cm NME100113_010 FP,Female,41.5,4.2,7,2006
556,Cm NME100113_010 FP,Female,46.5,6,8,2007
557,Cm NME100113_010 FP,Female,50.8,2.5,9,2008
558,Cm NME100113_010 FP,Female,53.4,2.9,10,2009
559,Cm NME100113_019,Female,30.5,2,5,2006
560,Cm NME100113_019,Female,33.8,4.5,6,2007
561,Cm NME100113_019,Female,38.8,5.5,7,2008
562,Cm NME100113_019,Female,44.1,5.1,8,2009
563,Cm NME100113_019_2,Female,44.7,2.1,10,2001
564,Cm NME100113_019_2,Female,47.1,2.7,11,2002
565,Cm NME100113_019_2,Female,50,3.1,12,2003
566,Cm NME100113_019_2,Female,53.4,3.7,13,2004
567,Cm NME100113_019_2,Female,57.6,4.6,14,2005
568,Cm NME100113_019_2,Female,62,4.2,15,2006
569,Cm NME100113_019_2,Female,65.5,2.9,16,2007
570,Cm NME100113_019_2,Female,67.9,1.8,17,2008
571,Cm NME100113_019_2,Female,69.5,1.5,18,2009
572,Cm NME100113_020 FP,Female,39.7,2.9,8,2004
573,Cm NME100113_020 FP,Female,43.3,4.3,9,2005
574,Cm NME100113_020 FP,Female,48,5.3,10,2006
575,Cm NME100113_020 FP,Female,53.4,5.5,11,2007
576,Cm NME100113_020 FP,Female,58.8,5.3,12,2008
577,Cm NME100113_020 FP,Female,63.8,4.6,13,2009
578,Cm NME100113_028,Female,24.8,2.7,3,2007
579,Cm NME100113_028,Female,27.7,3.1,4,2008
580,Cm NME100113_028,Female,31.4,4.3,5,2009
581,Cm NME100113_030 FP,Male,30.2,1.7,5,2005
582,Cm NME100113_030 FP,Male,32.2,2.3,6,2006
583,Cm NME100113_030 FP,Male,34.7,2.8,7,2007
584,Cm NME100113_030 FP,Male,38,3.9,8,2008
585,Cm NME100113_030 FP,Male,42.6,5.3,9,2009
586,Cm NME100113_032,Female,35.7,3.9,7,2004
587,Cm NME100113_032,Female,39.8,4.2,8,2005
588,Cm NME100113_032,Female,43.8,3.8,9,2006
589,Cm NME100113_032,Female,47.8,4.2,10,2007
590,Cm NME100113_032,Female,52.5,5.2,11,2008
591,Cm NME100113_032,Female,57.5,5,12,2009
592,Cm NME100113_033,Female,21.8,5,1,2007
593,Cm NME100113_033,Female,25.5,2.3,2,2008
594,Cm NME100113_033,Female,28.2,3.2,3,2009
595,Cm NME100113_034,Female,31.6,1.5,6,2004
596,Cm NME100113_034,Female,33.4,2,7,2005
597,Cm NME100113_034,Female,36.4,3.9,8,2006
598,Cm NME100113_034,Female,40.4,4.1,9,2007
599,Cm NME100113_034,Female,45,5.2,10,2008
600,Cm NME100113_034,Female,50,4.9,11,2009
601,Cm NME100113_038,Female,27.9,1.9,5,2005
602,Cm NME100113_038,Female,31.3,4.9,6,2006
603,Cm NME100113_038,Female,35.4,3.3,7,2007
604,Cm NME100113_038,Female,39.1,4.1,8,2008
605,Cm NME100113_038,Female,43.2,4,9,2009
606,Cm NME100113_039,Female,28.3,3.2,4,2005
607,Cm NME100113_039,Female,32.4,5,5,2006
608,Cm NME100113_039,Female,36.4,3,6,2007
609,Cm NME100113_039,Female,40,4.1,7,2008
610,Cm NME100113_039,Female,44,3.8,8,2009
611,Cm NME100113_042,Female,30.9,3.5,6,2005
612,Cm NME100113_042,Female,35.3,5.3,7,2006
613,Cm NME100113_042,Female,39.7,3.5,8,2007
614,Cm NME100113_042,Female,43.9,4.9,9,2008
615,Cm NME100113_042,Female,48.1,3.5,10,2009
616,Cm NME100114_007,Female,40.7,4.1,9,2003
617,Cm NME100114_007,Female,45,4.4,10,2004
618,Cm NME100114_007,Female,49.2,4.1,11,2005
619,Cm NME100114_007,Female,53.4,4.4,12,2006
620,Cm NME100114_007,Female,57.5,3.7,13,2007
621,Cm NME100114_007,Female,61.7,4.7,14,2008
622,Cm NME100114_007,Female,66.1,4.1,15,2009
623,Cm NME100114_008,Female,39.7,1.7,8,2001
624,Cm NME100114_008,Female,41.6,2.3,9,2002
625,Cm NME100114_008,Female,44.3,3.1,10,2003
626,Cm NME100114_008,Female,48.4,5.2,11,2004
627,Cm NME100114_008,Female,53.2,4.5,12,2005
628,Cm NME100114_008,Female,57.7,4.4,13,2006
629,Cm NME100114_008,Female,61.7,3.6,14,2007
630,Cm NME100114_008,Female,64.7,2.5,15,2008
631,Cm NME100114_008,Female,67.1,2.3,16,2009
632,Cm NME100114_009,Female,34.4,4.2,6,2004
633,Cm NME100114_009,Female,38.4,3.6,7,2005
634,Cm NME100114_009,Female,42.7,5,8,2006
635,Cm NME100114_009,Female,47.5,4.4,9,2007
636,Cm NME100114_009,Female,52.5,5.6,10,2008
637,Cm NME100114_009,Female,57,3.5,11,2009
638,Cm Tyndall NME100111_007,Female,32.8,4.2,6,2005
639,Cm Tyndall NME100111_007,Female,36.4,3,7,2006
640,Cm Tyndall NME100111_007,Female,39.9,4,8,2007
641,Cm Tyndall NME100111_007,Female,43.6,3.5,9,2008
642,Cm Tyndall NME100111_007,Female,46.6,2.4,10,2009
643,Cm Tyndall NME100111_015,Male,21.2,3.2,2,2006
644,Cm Tyndall NME100111_015,Male,25.1,4.5,3,2007
645,Cm Tyndall NME100111_015,Male,30.5,6.3,4,2008
646,Cm Tyndall NME100111_015,Male,35.5,3.9,5,2009
647,Cm Tyndall NME100111_016,Female,15.2,2.3,1,2007
648,Cm Tyndall NME100111_016,Female,17.5,2.1,2,2008
649,Cm Tyndall NME100111_016,Female,20.7,4.3,3,2009
650,Cm Tyndall NME100111_026,Male,17.3,1.8,1,2006
651,Cm Tyndall NME100111_026,Male,21.4,6.4,2,2007
652,Cm Tyndall NME100111_026,Male,27.8,6.4,3,2008
653,Cm Tyndall NME100111_026,Male,31.4,0.8,4,2009
654,Cm Tyndall NME100114_042,Male,23.7,4.2,2,2008
655,Cm Tyndall NME100114_042,Male,27.4,3.2,3,2009
656,Cm Tyndall NME100115_003,Male,19.7,3.5,1,2008
657,Cm Tyndall NME100115_003,Male,23,3.1,2,2009
658,Cm UUE487 Jan 2010 FG cold stun,Female,27.3,3,4,2007
659,Cm UUE487 Jan 2010 FG cold stun,Female,30.8,4,5,2008
660,Cm UUE487 Jan 2010 FG cold stun,Female,34.7,3.8,6,2009
